嗚呼,ああ
相,あい
相変わらず,あいかわらず
愛想,あいそ
愛想,あいそ
愛憎,あいぞう
相対,あいたい
間柄,あいだがら
アイデア,アイデア
合間,あいま
曖昧,あいまい
敢えて,あえて
仰ぐ,あおぐ
亜科,あか
垢,あか
証,あかし
赤字,あかじ
明かす,あかす
赤ちゃん,あかちゃん
明白,あからさま
赤らむ,あからむ
上がり,あがり
上がる,あがる
明るい,あかるい
空き間,あきま
諦め,あきらめ
呆れる,あきれる
悪,あく
アクセル,アクセル
悪どい,あくどい
悪日,あくにち
明くる,あくる
顎,あご
顎,あご
麻,あさ
字,あざ
明後日,あさって
朝寝坊,あさねぼう
浅ましい,あさましい
欺く,あざむく
鮮やか,あざやか
あざ笑う,あざわらう
葦,あし
味わい,あじわい
味わい,あじわい
東,あずま
焦る,あせる
彼処,あそこ
値,あたい
値する,あたいする
私,あたし
当たり,あたり
辺り,あたり
当たり前,あたりまえ
彼方此方,あちこち
彼方,あちら
悪化,あっか
扱い,あつかい
扱い,あつかい
呆気ない,あっけない
悪口,あっこう
あっさり,あっさり
圧迫,あっぱく
アップ,アップ
集まる,あつまる
誂える,あつらえる
圧力,あつりょく
当て,あて
当て字,あてじ
当てはまる,あてはまる
当てはめる,あてはめる
宛てる,あてる
跡継ぎ,あとつぎ
後回し,あとまわし
貴方,あなた
彼の,あの
油絵,あぶらえ
炙る,あぶる
溢れる,あふれる
アプローチ,アプローチ
あべこべ,あべこべ
甘える,あまえる
雨具,あまぐ
甘口,あまくち
アマチュア,アマチュア
余り,あまり
網,あみ
操る,あやつる
あやふや,あやふや
過ち,あやまち
誤る,あやまる
歩み,あゆみ
歩み,あゆみ
歩み,あゆみ
歩む,あゆむ
歩む,あゆむ
あら,あら
予め,あらかじめ
荒らす,あらす
粗筋,あらすじ
争い,あらそい
改まる,あらたまる
アラブ,アラブ
有らゆる,あらゆる
霰,あられ
現れ,あらわれ
現れる,あらわれる
有り難う,ありがとう
有りのまま,ありのまま
有りのまま,ありのまま
或,ある
或いは,あるいは
アルカリ,アルカリ
アルミ,アルミ
彼此,あれこれ
アワー,アワー
合わす,あわす
合わせ,あわせ
慌ただしい,あわただしい
慌てる,あわてる
アンケート,アンケート
アンコール,アンコール
暗殺,あんさつ
暗殺,あんさつ
暗算,あんざん
暗示,あんじ
案じる,あんじる
安静,あんせい
安静,あんせい
案の定,あんのじょう
伊,い
否,いいえ
いい加減,いいかげん
言い訳,いいわけ
言い訳,いいわけ
イエス,イエス
家出,いえで
生かす,いかす
如何に,いかに
如何にも,いかにも
怒り,いかり
粋,いき
異議,いぎ
域外,いきがい
意気込む,いきごむ
意気込む,いきごむ
経緯,いきさつ
行き違い,いきちがい
行き成り,いきなり
行く,いく
戦,いくさ
育成,いくせい
幾多,いくた
生ける,いける
生ける,いける
異見,いけん
意向,いこう
意向,いこう
移行,いこう
いざ,いざ
意地,いじ
苛める,いじめる
移住,いじゅう
移住,いじゅう
衣装,いしょう
衣装,いしょう
弄る,いじる
何れ,いずれ
異性,いせい
依然,いぜん
依存,いぞん
委託,いたく
委託,いたく
悪戯,いたずら
頂きます,いただきます
至って,いたって
至って,いたって
痛む,いたむ
炒める,いためる
痛める,いためる
労る,いたわる
位置,いち
市,いち
一々,いちいち
一見,いちげん
著しい,いちじるしい
一同,いちどう
一日,いちにち
一部,いちぶ
一部分,いちぶぶん
一別,いちべつ
一面,いちめん
一様,いちよう
一連,いちれん
何時,いつ
何時か,いつか
一括,いっかつ
一気,いっき
一挙に,いっきょに
一切,いっさい
一昨昨日,いっさくさくじつ
一心,いっしん
いっそ,いっそ
一帯,いったい
一定,いってい
何時でも,いつでも
いつの間にか,いつのまにか
一敗,いっぱい
一変,いっぺん
何時までも,いつまでも
何時も,いつも
意図,いと
営む,いとなむ
営む,いとなむ
挑む,いどむ
稲光,いなびかり
古,いにしえ
祈り,いのり
鼾,いびき
今更,いまさら
移民,いみん
嫌々,いやいや
嫌々,いやいや
卑しい,いやしい
嫌に,いやに
嫌らしい,いやらしい
愈,いよいよ
意欲,いよく
意欲,いよく
意欲,いよく
苛々,いらいら
入口,いりぐち
衣料,いりょう
入る,いる
衣類,いるい
色々,いろいろ
異論,いろん
所謂,いわゆる
印,いん
員,いん
印鑑,いんかん
隠居,いんきょ
インターチェンジ,インターチェンジ
インターナショナル,インターナショナル
インターフォン,インターフォン
インテリ,インテリ
インフォメーション,インフォメーション
インフレ,インフレ
卯,う
ウイルス,ウイルス
ウェイトレス,ウェイトレス
上下,うえした
浮かぶ,うかぶ
受かる,うかる
受け入れる,うけいれる
受け継ぐ,うけつぐ
受け付ける,うけつける
受け止める,うけとめる
受取り,うけとり
動き,うごき
