相変わらず,あいかわらず
アイデア,アイデア
曖昧,あいまい
会う,あう
扇ぐ,あおぐ
扇ぐ,あおぐ
青白い,あおじろい
赤ん坊,あかんぼう
空き,あき
呆れる,あきれる
アクセント,アクセント
欠伸,あくび
飽くまで,あくまで
明け方,あけがた
上げる,あげる
憧れる,あこがれる
足跡,あしあと
味わう,あじわう
預かる,あずかる
温める,あたためる
当たり前,あたりまえ
彼方此方,あちこち
厚かましい,あつかましい
圧縮,あっしゅく
宛名,あてな
当てはまる,あてはまる
当てはめる,あてはめる
暴れる,あばれる
暴れる,あばれる
脂,あぶら
炙る,あぶる
溢れる,あふれる
雨戸,あまど
甘やかす,あまやかす
余る,あまる
編み物,あみもの
編む,あむ
危うい,あやうい
怪しい,あやしい
粗い,あらい
荒い,あらい
粗筋,あらすじ
争う,あらそう
争う,あらそう
改めて,あらためて
改める,あらためる
著す,あらわす
有難い,ありがたい
有る,ある
彼此,あれこれ
慌ただしい,あわただしい
慌てる,あわてる
安易,あんい
案外,あんがい
アンテナ,アンテナ
言い出す,いいだす
言いつける,いいつける
生き生き,いきいき
行き成り,いきなり
育児,いくじ
育児,いくじ
幾分,いくぶん
生け花,いけばな
以後,いご
イコール,イコール
以降,いこう
衣食住,いしょくじゅう
意地悪,いじわる
一々,いちいち
一応,いちおう
一段,いちだん
一流,いちりゅう
佚,いつ
一昨昨日,いっさくさくじつ
一昨年,いっさくねん
一斉,いっせい
一旦,いったん
一定,いってい
行ってまいります,いってまいります
行ってらっしゃい,いってらっしゃい
行ってらっしゃい,いってらっしゃい
いつの間にか,いつのまにか
いつの間にか,いつのまにか
移転,いてん
井戸,いど
緯度,いど
従姉妹,いとこ
威張る,いばる
嫌がる,いやがる
愈,いよいよ
煎る,いる
入れ物,いれもの
インク,インク
インタビュー,インタビュー
引力,いんりょく
ウーマン,ウーマン
ウール,ウール
ウェイトレス,ウェイトレス
植木,うえき
植木,うえき
飢える,うえる
浮かぶ,うかぶ
浮かべる,うかべる
浮く,うく
承る,うけたまわる
受取り,うけとり
受取り,うけとり
受け持つ,うけもつ
薄暗い,うすぐらい
薄める,うすめる
打ち合わせ,うちあわせ
打ち消す,うちけす
撃つ,うつ
うっかり,うっかり
映す,うつす
写る,うつる
映る,うつる
饂飩,うどん
饂飩,うどん
埋める,うめる
敬う,うやまう
裏返す,うらがえす
裏口,うらぐち
裏口,うらぐち
占う,うらなう
恨み,うらみ
羨ましい,うらやましい
羨む,うらやむ
売り上げ,うりあげ
売り切れ,うりきれ
売り切れる,うりきれる
売れ行き,うれゆき
売れ行き,うれゆき
うろうろ,うろうろ
運河,うんが
うんと,うんと
英文,えいぶん
英和,えいわ
液体,えきたい
エチケット,エチケット
えっと,えっと
絵の具,えのぐ
エプロン,エプロン
偉い,えらい
宴会,えんかい
園芸,えんげい
演劇,えんげき
円周,えんしゅう
遠足,えんそく
煙突,えんとつ
オーケストラ,オーケストラ
オートメーション,オートメーション
オーバコート,オーバコート
追いかける,おいかける
追い越す,おいこす
追い越す,おいこす
オイル,オイル
応援,おうえん
王女,おうじょ
応ずる,おうずる
応接,おうせつ
応対,おうたい
往復,おうふく
欧米,おうべい
大雑把,おおざっぱ
大通り,おおどおり
大凡,おおよそ
お帰り,おかえり
お帰り,おかえり
お掛け下さい,おかけください
お陰様で,おかげさまで
お菜,おかず
拝む,おがむ
お代わり,おかわり
お代わり,おかわり
補う,おぎなう
お気の毒に,おきのどくに
屋外,おくがい
奥さん,おくさん
送り仮名,おくりがな
怠る,おこたる
押さえる,おさえる
お先に,おさきに
収める,おさめる
